page	fragment	status	before	after	matches
565	b23982500_0002_0571.xml	unmatched	re	Dalech	0
566	b23982500_0002_0572.xml	unmatched	κι	νεῖν⁴⁴	0
566	b23982500_0002_0572.xml	unmatched	lu	team⁵¹	0
567	b23982500_0002_0573.xml	ambiguous	Hyperi	cum	2
567	b23982500_0002_0573.xml	ambiguous	Hyperi	cum	2
571	b23982500_0002_0577.xml	unmatched	ne	Plin	0
572	b23982500_0002_0578.xml	unmatched	bri	tannica27	0
573	b23982500_0002_0579.xml	unmatched	libra	39	0
576	b23982500_0002_0582.xml	unmatched	etymo	logia	0
580	b23982500_0002_0586.xml	unmatched	Saxifra	gam6	0
581	b23982500_0002_0587.xml	ambiguous	nomi	ne	2
581	b23982500_0002_0587.xml	ambiguous	nomi	ne	2
593	b23982500_0002_0599.xml	unmatched	πέφυ	καν	0
593	b23982500_0002_0599.xml	unmatched	pro	vinciali	0
594	b23982500_0002_0600.xml	unmatched	ἄν	θει	0
594	b23982500_0002_0600.xml	unmatched	appel	latur	0
597	b23982500_0002_0603.xml	unmatched	ob	55	0
604	b23982500_0002_0610.xml	ambiguous	ne	que	2
604	b23982500_0002_0610.xml	ambiguous	ne	que	2
611	b23982500_0002_0617.xml	unmatched	κα	κὸν	0
611	b23982500_0002_0617.xml	unmatched	ἀπο	θνήσκειν	0
613	b23982500_0002_0619.xml	unmatched	tri	buit³	0
615	b23982500_0002_0621.xml	unmatched	Brun	felsius²⁷	0
616	b23982500_0002_0622.xml	unmatched	Ul	Hort	0
618	b23982500_0002_0624.xml	unmatched	Κα	ταχρίσας	0
626	b23982500_0002_0632.xml	unmatched	Clu	14	0
637	b23982500_0002_0643.xml	unmatched	Actu	arius²²	0
642	b23982500_0002_0648.xml	unmatched	caecu	Pon	0
647	b23982500_0002_0653.xml	unmatched	Si	Lib	0
650	b23982500_0002_0656.xml	unmatched	Bran	des	0
659	b23982500_0002_0665.xml	unmatched	Dres	den	0
659	b23982500_0002_0665.xml	unmatched	Cosch	witz	0
666	b23982500_0002_0672.xml	ambiguous	lo	cum	2
666	b23982500_0002_0672.xml	ambiguous	lo	cum	2
